photometry,cell,date,JQ-1,CC-90009,viability
0.007583333333333331,Karpas299,20250120,256000.0,256000.0,0.007721680101824351
0.008083333333333331,Karpas299,20250120,64000.0,256000.0,0.008230801866779804
0.00708333333333333,Karpas299,20250120,16000.0,256000.0,0.007212558336868898
0.008083333333333331,Karpas299,20250120,4000.0,256000.0,0.008230801866779804
0.009583333333333333,Karpas299,20250120,1000.0,256000.0,0.00975816716164616
0.00658333333333333,Karpas299,20250120,250.0,256000.0,0.006703436571913446
0.007583333333333331,Karpas299,20250120,62.5,256000.0,0.007721680101824351
0.011583333333333334,Karpas299,20250120,15.625,256000.0,0.011794654221467969
0.012083333333333335,Karpas299,20250120,0.0,256000.0,0.012303775986423422
0.00658333333333333,Karpas299,20250120,256000.0,256000.0,0.006703436571913446
0.00658333333333333,Karpas299,20250120,64000.0,256000.0,0.006703436571913446
0.00658333333333333,Karpas299,20250120,16000.0,256000.0,0.006703436571913446
0.0050833333333333425,Karpas299,20250120,4000.0,256000.0,0.005176071277047103
0.005583333333333343,Karpas299,20250120,1000.0,256000.0,0.005685193042002556
0.004583333333333342,Karpas299,20250120,250.0,256000.0,0.004666949512091651
0.00658333333333333,Karpas299,20250120,62.5,256000.0,0.006703436571913446
0.011083333333333334,Karpas299,20250120,15.625,256000.0,0.011285532456512516
0.010083333333333333,Karpas299,20250120,0.0,256000.0,0.010267288926601613
0.00658333333333333,Karpas299,20250120,256000.0,256000.0,0.006703436571913446
0.00658333333333333,Karpas299,20250120,64000.0,256000.0,0.006703436571913446
0.007583333333333331,Karpas299,20250120,16000.0,256000.0,0.007721680101824351
0.0060833333333333295,Karpas299,20250120,4000.0,256000.0,0.006194314806957994
0.005583333333333343,Karpas299,20250120,1000.0,256000.0,0.005685193042002556
0.008583333333333332,Karpas299,20250120,250.0,256000.0,0.008739923631735255
0.009583333333333333,Karpas299,20250120,62.5,256000.0,0.00975816716164616
0.012583333333333335,Karpas299,20250120,15.625,256000.0,0.012812897751378874
0.01708333333333334,Karpas299,20250120,0.0,256000.0,0.017394993635977945
0.00658333333333333,Karpas299,20250120,256000.0,64000.0,0.006703436571913446
0.010583333333333333,Karpas299,20250120,64000.0,64000.0,0.010776410691557065
0.009583333333333333,Karpas299,20250120,16000.0,64000.0,0.00975816716164616
