cell,date,dBET1,CC-90009,photometry,viability
MOLM-13,2025-01-11,27000.0,243000.0,0.013666666666666674,0.019773330118157715
MOLM-13,2025-01-11,9000.0,243000.0,0.012666666666666673,0.018326501085121783
MOLM-13,2025-01-11,3000.0,243000.0,0.022666666666666682,0.03279479141548109
MOLM-13,2025-01-11,1000.0,243000.0,0.04166666666666667,0.06028454304316374
MOLM-13,2025-01-11,333.3333333333333,243000.0,0.045166666666666674,0.06534844465878949
MOLM-13,2025-01-11,111.11111111111111,243000.0,0.044166666666666674,0.06390161562575357
MOLM-13,2025-01-11,37.03703703703704,243000.0,0.04866666666666668,0.07041234627441526
MOLM-13,2025-01-11,12.345679012345679,243000.0,0.06066666666666666,0.08777429467084638
MOLM-13,2025-01-11,0.0,243000.0,0.045666666666666675,0.06607185917530746
MOLM-13,2025-01-11,27000.0,27000.0,0.014166666666666675,0.02049674463467568
MOLM-13,2025-01-11,9000.0,27000.0,0.033666666666666664,0.04870991077887629
MOLM-13,2025-01-11,3000.0,27000.0,0.08016666666666668,0.11598746081504703
MOLM-13,2025-01-11,1000.0,27000.0,0.11116666666666668,0.16083916083916083
MOLM-13,2025-01-11,333.3333333333333,27000.0,0.08816666666666666,0.12756209307933444
MOLM-13,2025-01-11,111.11111111111111,27000.0,0.06516666666666666,0.09428502531950807
MOLM-13,2025-01-11,37.03703703703704,27000.0,0.11916666666666666,0.17241379310344826
MOLM-13,2025-01-11,12.345679012345679,27000.0,0.12816666666666665,0.1854352544007716
MOLM-13,2025-01-11,0.0,27000.0,0.14566666666666667,0.2107547624789004
MOLM-13,2025-01-11,27000.0,3000.0,0.04366666666666667,0.0631782011092356
MOLM-13,2025-01-11,9000.0,3000.0,0.08216666666666668,0.1188811188811189
MOLM-13,2025-01-11,3000.0,3000.0,0.26066666666666666,0.37714010127803227
MOLM-13,2025-01-11,1000.0,3000.0,0.30466666666666664,0.44080057873161316
MOLM-13,2025-01-11,333.3333333333333,3000.0,0.4691666666666667,0.6788039546660236
MOLM-13,2025-01-11,111.11111111111111,3000.0,0.5126666666666667,0.7417410176030866
MOLM-13,2025-01-11,37.03703703703704,3000.0,0.35266666666666663,0.5102483723173378
MOLM-13,2025-01-11,12.345679012345679,3000.0,0.30066666666666664,0.43501326259946943
MOLM-13,2025-01-11,0.0,3000.0,0.5226666666666667,0.7562093079334459
MOLM-13,2025-01-11,27000.0,333.3333333333333,0.06266666666666666,0.09066795273691824
MOLM-13,2025-01-11,9000.0,333.3333333333333,0.016666666666666677,0.024113817217265507
MOLM-13,2025-01-11,3000.0,333.3333333333333,0.08666666666666668,0.12539184952978058
MOLM-13,2025-01-11,1000.0,333.3333333333333,0.5376666666666667,0.7779117434289848
MOLM-13,2025-01-11,333.3333333333333,333.3333333333333,0.6356666666666667,0.919700988666506
MOLM-13,2025-01-11,111.11111111111111,333.3333333333333,0.6621666666666668,0.9580419580419581
MOLM-13,2025-01-11,37.03703703703704,333.3333333333333,0.6246666666666667,0.9037858693031107
MOLM-13,2025-01-11,12.345679012345679,333.3333333333333,0.8516666666666667,1.2322160598022667
MOLM-13,2025-01-11,0.0,333.3333333333333,0.7591666666666668,1.0983843742464432
MOLM-13,2025-01-11,27000.0,37.03703703703704,0.04366666666666667,0.0631782011092356
MOLM-13,2025-01-11,9000.0,37.03703703703704,0.015166666666666676,0.02194357366771161
MOLM-13,2025-01-11,3000.0,37.03703703703704,0.045166666666666674,0.06534844465878949
MOLM-13,2025-01-11,1000.0,37.03703703703704,0.25716666666666665,0.3720761996624065
MOLM-13,2025-01-11,333.3333333333333,37.03703703703704,0.6326666666666667,0.9153605015673981
MOLM-13,2025-01-11,111.11111111111111,37.03703703703704,0.6696666666666667,0.9688931757897276
MOLM-13,2025-01-11,37.03703703703704,37.03703703703704,0.7356666666666667,1.0643838919700987
MOLM-13,2025-01-11,12.345679012345679,37.03703703703704,0.9741666666666666,1.4094526163491679
MOLM-13,2025-01-11,0.0,37.03703703703704,0.6636666666666667,0.960212201591512
MOLM-13,2025-01-11,27000.0,0.0,0.056166666666666656,0.0812635640221847
MOLM-13,2025-01-11,9000.0,0.0,0.056166666666666656,0.0812635640221847
MOLM-13,2025-01-11,3000.0,0.0,0.06716666666666667,0.09717868338557993
MOLM-13,2025-01-11,1000.0,0.0,0.39266666666666666,0.5681215336387749
MOLM-13,2025-01-11,333.3333333333333,0.0,0.7701666666666667,1.1142994936098383
MOLM-13,2025-01-11,111.11111111111111,0.0,0.8556666666666667,1.2380033759344105
MOLM-13,2025-01-11,37.03703703703704,0.0,0.9046666666666667,1.308897998553171
MOLM-13,2025-01-11,12.345679012345679,0.0,0.9181666666666666,1.3284301904991558
MOLM-13,2025-01-11,0.0,0.0,0.6911666666666667,1.0
