photometry,cell,date,JQ-1,CC-90009,viability,predicted_viability,Difference
0.0075833333333333,Karpas299,20250120,256000.0,256000.0,0.0077216801018243,-0.0013887963183134566,0.009110476420137757
0.0080833333333333,Karpas299,20250120,64000.0,256000.0,0.0082308018667798,0.007316686862109956,0.0009141150046698444
0.0070833333333333,Karpas299,20250120,16000.0,256000.0,0.0072125583368688,0.016677790954892857,-0.009465232618024056
0.0080833333333333,Karpas299,20250120,4000.0,256000.0,0.0082308018667798,0.02599329954775975,-0.01776249768097995
0.0095833333333333,Karpas299,20250120,1000.0,256000.0,0.0097581671616461,0.034575311815669973,-0.024817144654023876
0.0065833333333333,Karpas299,20250120,250.0,256000.0,0.0067034365719134,0.04193773160831771,-0.03523429503640431
0.0075833333333333,Karpas299,20250120,62.5,256000.0,0.0077216801018243,0.047877468259624245,-0.040155788157799945
0.0115833333333333,Karpas299,20250120,15.625,256000.0,0.0117946542214679,0.05243635953484049,-0.04064170531337259
0.0120833333333333,Karpas299,20250120,0.0,256000.0,0.0123037759864234,0.06359974810571178,-0.05129597211928838
0.0065833333333333,Karpas299,20250120,256000.0,256000.0,0.0067034365719134,-0.0013887963183134566,0.008092232890226855
0.0065833333333333,Karpas299,20250120,64000.0,256000.0,0.0067034365719134,0.007316686862109956,-0.0006132502901965561
0.0065833333333333,Karpas299,20250120,16000.0,256000.0,0.0067034365719134,0.016677790954892857,-0.009974354382979458
0.0050833333333333,Karpas299,20250120,4000.0,256000.0,0.0051760712770471,0.02599329954775975,-0.020817228270712654
0.0055833333333333,Karpas299,20250120,1000.0,256000.0,0.0056851930420025,0.034575311815669973,-0.028890118773667473
0.0045833333333333,Karpas299,20250120,250.0,256000.0,0.0046669495120916,0.04193773160831771,-0.037270782096226106
0.0065833333333333,Karpas299,20250120,62.5,256000.0,0.0067034365719134,0.047877468259624245,-0.041174031687710846
0.0110833333333333,Karpas299,20250120,15.625,256000.0,0.0112855324565125,0.05243635953484049,-0.04115082707832799
0.0100833333333333,Karpas299,20250120,0.0,256000.0,0.0102672889266016,0.06359974810571178,-0.053332459179110184
0.0065833333333333,Karpas299,20250120,256000.0,256000.0,0.0067034365719134,-0.0013887963183134566,0.008092232890226855
0.0065833333333333,Karpas299,20250120,64000.0,256000.0,0.0067034365719134,0.007316686862109956,-0.0006132502901965561
0.0075833333333333,Karpas299,20250120,16000.0,256000.0,0.0077216801018243,0.016677790954892857,-0.008956110853068557
0.0060833333333333,Karpas299,20250120,4000.0,256000.0,0.0061943148069579,0.02599329954775975,-0.019798984740801853
0.0055833333333333,Karpas299,20250120,1000.0,256000.0,0.0056851930420025,0.034575311815669973,-0.028890118773667473
0.0085833333333333,Karpas299,20250120,250.0,256000.0,0.0087399236317352,0.04193773160831771,-0.033197807976582505
0.0095833333333333,Karpas299,20250120,62.5,256000.0,0.0097581671616461,0.047877468259624245,-0.03811930109797815
0.0125833333333333,Karpas299,20250120,15.625,256000.0,0.0128128977513788,0.05243635953484049,-0.0396234617834617
0.0170833333333333,Karpas299,20250120,0.0,256000.0,0.0173949936359779,0.06359974810571178,-0.046204754469733884
0.0065833333333333,Karpas299,20250120,256000.0,64000.0,0.0067034365719134,-0.0023030734486617632,0.009006510020575162
0.0105833333333333,Karpas299,20250120,64000.0,64000.0,0.010776410691557,0.012133433119091874,-0.001357022427534875
0.0095833333333333,Karpas299,20250120,16000.0,64000.0,0.0097581671616461,0.027657171194973684,-0.017899004033327587
0.0145833333333333,Karpas299,20250120,4000.0,64000.0,0.0148493848112006,0.04310529718587919,-0.028255912374678588
0.0165833333333333,Karpas299,20250120,1000.0,64000.0,0.0168858718710224,0.05733704904875536,-0.04045117717773296
0.0405833333333333,Karpas299,20250120,250.0,64000.0,0.0413237165888841,0.0695463221572411,-0.028222605568357005
0.0625833333333333,Karpas299,20250120,62.5,64000.0,0.063725074246924,0.0793963265050921,-0.015671252258168095
0.0660833333333333,Karpas299,20250120,15.625,64000.0,0.0672889266016122,0.08695644263791469,-0.019667516036302485
0.0720833333333333,Karpas299,20250120,0.0,64000.0,0.0733983877810776,0.10546895125824984,-0.03207056347717224
0.0070833333333333,Karpas299,20250120,256000.0,64000.0,0.0072125583368688,-0.0023030734486617632,0.009515631785530564
0.0120833333333333,Karpas299,20250120,64000.0,64000.0,0.0123037759864234,0.012133433119091874,0.00017034286733152645
0.0115833333333333,Karpas299,20250120,16000.0,64000.0,0.0117946542214679,0.027657171194973684,-0.015862516973505783
0.0135833333333333,Karpas299,20250120,4000.0,64000.0,0.0138311412812897,0.04310529718587919,-0.02927415590458949
0.0205833333333333,Karpas299,20250120,1000.0,64000.0,0.0209588459906661,0.05733704904875536,-0.03637820305808926
0.0385833333333333,Karpas299,20250120,250.0,64000.0,0.0392872295290623,0.0695463221572411,-0.030259092628178802
0.0625833333333333,Karpas299,20250120,62.5,64000.0,0.063725074246924,0.0793963265050921,-0.015671252258168095
0.0735833333333333,Karpas299,20250120,15.625,64000.0,0.074925753075944,0.08695644263791469,-0.01203068956197069
0.0755833333333333,Karpas299,20250120,0.0,64000.0,0.0769622401357658,0.10546895125824984,-0.02850671112248404
0.0055833333333333,Karpas299,20250120,256000.0,64000.0,0.0056851930420025,-0.0023030734486617632,0.007988266490664264
