,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_p
7,KEGG_2021_Human,Cellular senescence,4/156,1.7698382840764917e-08,1.614977434219799e-07,0,0,522.1842105263158,9320.879839380215,RB1;CDKN1A;PTEN;ATM,7.752066414735254
6,KEGG_2021_Human,Breast cancer,4/147,1.392583827267759e-08,1.4522659912935202e-07,0,0,555.3006993006993,10045.12302484561,RB1;CDKN1A;PTEN;BAX,7.856178652797631
5,KEGG_2021_Human,Small cell lung cancer,4/92,2.0884666266969624e-09,2.5409677291479707e-08,0,0,904.8636363636364,18085.36084146897,RB1;CDKN1A;PTEN;BAX,8.680172460287372
4,KEGG_2021_Human,Human papillomavirus infection,5/331,1.2048674490957026e-09,1.7591064756797263e-08,0,0,98345.0,2019701.0643423651,RB1;CDKN1A;PTEN;BAX;ATM,8.91906072843575
3,KEGG_2021_Human,Glioma,4/75,9.090828114945185e-10,1.6590761309774966e-08,0,0,1122.4788732394366,23368.42174809541,RB1;CDKN1A;PTEN;BAX,9.041396553591026
2,KEGG_2021_Human,p53 signaling pathway,4/73,8.141431022077888e-10,1.6590761309774966e-08,0,0,1155.1304347826087,24175.59198814128,CDKN1A;PTEN;BAX;ATM,9.089299252313577
1,KEGG_2021_Human,Melanoma,4/72,7.695625288367608e-10,1.6590761309774966e-08,0,0,1172.1764705882354,24598.356389286622,RB1;CDKN1A;PTEN;BAX,9.113756086910485
0,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,5/219,1.5038821355891455e-10,1.0978339589800762e-08,0,0,98905.0,2237013.6153009315,RB1;CDKN1A;PTEN;BAX;ATM,9.822786199561584
