,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,neg_log10_p
7,KEGG_2021_Human,Chronic myeloid leukemia,3/76,5.243932875582986e-07,4.326244622355964e-06,0,0,409.3561643835616,5919.709270774488,MYC;MDM2;TP53,6.2803428760876905
6,KEGG_2021_Human,p53 signaling pathway,3/73,4.640464975888469e-07,4.326244622355964e-06,0,0,426.9642857142857,6226.540189445254,CDK2;MDM2;TP53,6.33343850083624
5,KEGG_2021_Human,MicroRNAs in cancer,4/310,2.79635712605046e-07,3.0759928386555056e-06,0,0,257.37254901960785,3883.6946556051,MYC;MDM2;BRCA1;TP53,6.5534073651263665
4,KEGG_2021_Human,Bladder cancer,3/41,7.972406919171286e-08,1.0523577133306098e-06,0,0,787.7763157894736,12875.963057851615,MYC;MDM2;TP53,7.098410542605701
3,KEGG_2021_Human,Epstein-Barr virus infection,4/202,5.0106975568788026e-08,8.267650968850025e-07,0,0,399.93939393939394,6722.623508581993,MYC;CDK2;MDM2;TP53,7.300101810257451
2,KEGG_2021_Human,Cellular senescence,4/156,1.7698382840764917e-08,3.8936442249682817e-07,0,0,522.1842105263158,9320.879839380215,MYC;CDK2;MDM2;TP53,7.752066414735254
1,KEGG_2021_Human,Cell cycle,4/124,7.003081278664583e-09,2.3110168219593125e-07,0,0,662.5,12439.706586375813,MYC;CDK2;MDM2;TP53,8.154710833144986
0,KEGG_2021_Human,PI3K-Akt signaling pathway,5/354,1.6891899372170463e-09,1.1148653585632508e-07,0,0,98230.0,1984149.4153540605,MYC;CDK2;MDM2;BRCA1;TP53,8.772321514403256
