,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
28,GO_Biological_Process_2025,Positive Regulation of Binding (GO:0051099),2/64,0.0138919994079936,0.1384019803538902,0,0,11.87694145758662,50.79105349837036,CLDN5;STMN1
29,GO_Biological_Process_2025,Regulation of Extracellular Exosome Assembly (GO:1903551),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,SDC4
30,GO_Biological_Process_2025,Positive Regulation of Store-Operated Calcium Channel Activity (GO:1901341),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,STIM1
31,GO_Biological_Process_2025,Protection From Natural Killer Cell Mediated Cytotoxicity (GO:0042270),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,SERPINB9
32,GO_Biological_Process_2025,"Pentose-Phosphate Shunt, Non-Oxidative Branch (GO:0009052)",1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,TKT
33,GO_Biological_Process_2025,Signal Complex Assembly (GO:0007172),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,NCK2
34,GO_Biological_Process_2025,Positive Regulation of Endothelial Cell Development (GO:1901552),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,CLDN5
35,GO_Biological_Process_2025,Positive Regulation of Establishment of Endothelial Barrier (GO:1903142),1/5,0.0139230795759582,0.1384019803538902,0,0,90.63636363636364,387.3986174905012,CLDN5
36,GO_Biological_Process_2025,Supramolecular Fiber Organization (GO:0097435),4/339,0.0149181059410559,0.1384019803538902,0,0,4.50264064293915,18.934412757543573,STMN1;BID;DBN1;CD2AP
37,GO_Biological_Process_2025,Extrinsic Apoptotic Signaling Pathway (GO:0097191),2/68,0.0155860552571749,0.1384019803538902,0,0,11.154882154882156,46.41968853471818,BID;BCL2L1
38,GO_Biological_Process_2025,Phospholipid Metabolic Process (GO:0006644),2/69,0.0160227828010929,0.1384019803538902,0,0,10.98783858485351,45.4209079168642,PCYT2;PGP
39,GO_Biological_Process_2025,'De Novo' AMP Biosynthetic Process (GO:0044208),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,PAICS
40,GO_Biological_Process_2025,Endothelin Receptor Signaling Pathway (GO:0086100),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,PTK2B
41,GO_Biological_Process_2025,Tetrahydrofolate Interconversion (GO:0035999),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,SHMT1
42,GO_Biological_Process_2025,GMP Biosynthetic Process (GO:0006177),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,PAICS
43,GO_Biological_Process_2025,Negative Regulation of Lipoprotein Particle Clearance (GO:0010985),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,KHSRP
44,GO_Biological_Process_2025,Glucan Catabolic Process (GO:0009251),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,PYGB
45,GO_Biological_Process_2025,Hepatocyte Growth Factor Receptor Signaling Pathway (GO:0048012),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,STMN1
46,GO_Biological_Process_2025,Aldehyde Biosynthetic Process (GO:0046184),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,TKT
47,GO_Biological_Process_2025,Positive Regulation of Synaptic Plasticity (GO:0031915),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,DBN1
48,GO_Biological_Process_2025,Positive Regulation of Translation in Response to Stress (GO:0032056),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,NCK2
49,GO_Biological_Process_2025,Marginal Zone B Cell Differentiation (GO:0002315),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,PTK2B
50,GO_Biological_Process_2025,Negative Regulation of ERAD Pathway (GO:1904293),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,SGTA
51,GO_Biological_Process_2025,Enamel Mineralization (GO:0070166),1/6,0.0166847718987565,0.1384019803538902,0,0,72.50545454545454,296.7835926147705,STIM1
52,GO_Biological_Process_2025,Positive Regulation of Protein Polymerization (GO:0032273),2/71,0.0169118718793741,0.1384019803538902,0,0,10.6682769726248,43.52379016850056,NCK2;PTK2B
53,GO_Biological_Process_2025,Regulation of Actin Filament Polymerization (GO:0030833),2/71,0.0169118718793741,0.1384019803538902,0,0,10.6682769726248,43.52379016850056,NCK2;PTK2B
54,GO_Biological_Process_2025,Positive Regulation of Cytoskeleton Organization (GO:0051495),2/74,0.0182841189821684,0.1384019803538902,0,0,10.22222222222222,40.90649575777209,NCK2;PTK2B
55,GO_Biological_Process_2025,Regulation of Stress Fiber Assembly (GO:0051492),2/75,0.0187517067922134,0.1384019803538902,0,0,10.081684424150176,40.08952072099439,FHOD1;STMN1
56,GO_Biological_Process_2025,Tight Junction Organization (GO:0120193),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,CLDN5
57,GO_Biological_Process_2025,IMP Biosynthetic Process (GO:0006188),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,PAICS
58,GO_Biological_Process_2025,Negative Regulation of Mitochondrial Fusion (GO:0010637),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,VAT1
59,GO_Biological_Process_2025,Glyceraldehyde-3-Phosphate Metabolic Process (GO:0019682),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,TKT
60,GO_Biological_Process_2025,Glycine Metabolic Process (GO:0006544),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,SHMT1
61,GO_Biological_Process_2025,Positive Regulation of Bicellular Tight Junction Assembly (GO:1903348),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,CLDN5
62,GO_Biological_Process_2025,+ Reg of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Sgnlng Pway (GO:1902237),1/7,0.0194388685228235,0.1384019803538902,0,0,60.41818181818182,238.07667848958,NCK2
63,GO_Biological_Process_2025,Signal Transduction in Response to DNA Damage (GO:0042770),2/80,0.0211645483155654,0.1384019803538902,0,0,9.433048433048434,36.36843666133908,RBM38;BID
64,GO_Biological_Process_2025,AMP Biosynthetic Process (GO:0006167),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,PAICS
65,GO_Biological_Process_2025,Positive Regulation of Lyase Activity (GO:0051349),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,STIM1
66,GO_Biological_Process_2025,GMP Metabolic Process (GO:0046037),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,PAICS
67,GO_Biological_Process_2025,Negative Regulation of Nitric Oxide Biosynthetic Process (GO:0045019),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,KHSRP
68,GO_Biological_Process_2025,Negative Regulation of Nitric Oxide Metabolic Process (GO:1904406),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,KHSRP
69,GO_Biological_Process_2025,Bone Resorption (GO:0045453),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,PTK2B
70,GO_Biological_Process_2025,Phosphatidylethanolamine Biosynthetic Process (GO:0006646),1/8,0.0221853897190988,0.1384019803538902,0,0,51.784415584415584,197.21169430337932,PCYT2
