,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Starch and sucrose metabolism,3/36,0.00013903588612146947,0.0132084091815396,0,0,34.15265866209263,303.30219623884494,PYGB;GYG1;PGM2L1
1,KEGG_2021_Human,Pentose phosphate pathway,2/30,0.0031852247621403,0.1008654508011112,0,0,26.343915343915345,151.45729225683525,PGD;TKT
2,KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,2/30,0.0031852247621403,0.1008654508011112,0,0,26.343915343915345,151.45729225683525,SHMT1;PGP
3,KEGG_2021_Human,Phosphonate and phosphinate metabolism,1/6,0.0166847718987565,0.3386103336935072,0,0,72.50545454545454,296.7835926147705,PCYT2
4,KEGG_2021_Human,p53 signaling pathway,2/73,0.0178215965101845,0.3386103336935072,0,0,10.366718831507564,41.75034568511572,BID;BCL2L1
5,KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.0215698797864186,0.3415230966182953,0,0,5.344858716258915,20.505322730015106,PTK2B;BID;BCL2L1
6,KEGG_2021_Human,T cell receptor signaling pathway,2/104,0.0343801592640666,0.3780274234311075,0,0,7.20479302832244,24.282138481972,GRAP2;NCK2
7,KEGG_2021_Human,Leukocyte transendothelial migration,2/114,0.0406216585141305,0.3780274234311075,0,0,6.558201058201059,21.00889471539754,CLDN5;PTK2B
8,KEGG_2021_Human,Purine metabolism,2/129,0.0507118050117366,0.3780274234311075,0,0,5.779235928842228,17.231349936083543,NUDT5;PAICS
9,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,2/131,0.0521192385170196,0.3780274234311075,0,0,5.689061154177433,16.806744711469648,PTK2B;BID
10,KEGG_2021_Human,One carbon pool by folate,1/20,0.0545601179499192,0.3780274234311075,0,0,19.066985645933013,55.45541451142644,SHMT1
11,KEGG_2021_Human,Measles,2/139,0.0578868282662579,0.3780274234311075,0,0,5.354690456880238,15.256934307364943,BID;BCL2L1
12,KEGG_2021_Human,Apoptosis,2/142,0.0601048299150358,0.3780274234311075,0,0,5.239153439153439,14.73074475281542,BID;BCL2L1
13,KEGG_2021_Human,Cell adhesion molecules,2/148,0.0646275027612712,0.3780274234311075,0,0,5.0223236935565705,13.75672326605675,CLDN5;SDC4
14,KEGG_2021_Human,Hepatitis C,2/157,0.0716189600673629,0.3780274234311075,0,0,4.728554360812425,12.466339129388476,CLDN5;BID
15,KEGG_2021_Human,Fatty acid elongation,1/27,0.0729567468907788,0.3780274234311075,0,0,13.928671328671328,36.46370879499823,HADH
16,KEGG_2021_Human,Necroptosis,2/159,0.0732050342228236,0.3780274234311075,0,0,4.667846190139184,12.204042258876775,PYGB;BID
17,KEGG_2021_Human,Butanoate metabolism,1/28,0.0755559718968359,0.3780274234311075,0,0,13.412121212121212,34.64192039516318,HADH
18,KEGG_2021_Human,Hepatitis B,2/162,0.0756054846862215,0.3780274234311075,0,0,4.57962962962963,11.825640759315828,PTK2B;BID
19,KEGG_2021_Human,SNARE interactions in vesicular transport,1/33,0.0884451163420416,0.388861658722934,0,0,11.313636363636364,27.43978900166533,YKT6
20,KEGG_2021_Human,Pathogenic Escherichia coli infection,2/197,0.1053195334944233,0.388861658722934,0,0,3.750997150997151,8.442580745618459,CLDN5;NCK2
21,KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.1061938618617769,0.388861658722934,0,0,9.27972027972028,20.8096703696972,SHMT1
22,KEGG_2021_Human,Ferroptosis,1/41,0.1087015302888756,0.388861658722934,0,0,9.047272727272729,20.077249906423734,PCBP1
23,KEGG_2021_Human,Tryptophan metabolism,1/42,0.1112022885086058,0.388861658722934,0,0,8.826164079822616,19.38582488980337,HADH
24,KEGG_2021_Human,Fatty acid degradation,1/43,0.1136961552035784,0.388861658722934,0,0,8.615584415584415,18.73222500578713,HADH
