cell,date,dBET1,CC-90009,photometry,viability
MOLM-13,2025-01-11,27000.0,243000.0,0.002416666666666664,0.0032928352446917196
MOLM-13,2025-01-11,9000.0,243000.0,0.005416666666666667,0.007380492789826276
MOLM-13,2025-01-11,3000.0,243000.0,0.033416666666666664,0.0455319632110821
MOLM-13,2025-01-11,1000.0,243000.0,0.04991666666666668,0.06801407970932216
MOLM-13,2025-01-11,333.3333333333333,243000.0,0.03741666666666667,0.050982173271261505
MOLM-13,2025-01-11,111.11111111111111,243000.0,0.04341666666666667,0.05915748836153062
MOLM-13,2025-01-11,37.03703703703704,243000.0,0.04291666666666667,0.05847621210400819
MOLM-13,2025-01-11,12.345679012345679,243000.0,0.035916666666666666,0.048938344498694226
MOLM-13,2025-01-11,0.0,243000.0,0.034916666666666665,0.047575791983649376
MOLM-13,2025-01-11,27000.0,27000.0,-0.015083333333333337,-0.020551833768593174
MOLM-13,2025-01-11,9000.0,27000.0,0.03241666666666666,0.04416941069603725
MOLM-13,2025-01-11,3000.0,27000.0,0.09041666666666666,0.12319745656863859
MOLM-13,2025-01-11,1000.0,27000.0,0.08341666666666668,0.11365958896332466
MOLM-13,2025-01-11,333.3333333333333,27000.0,0.2159166666666667,0.2941977972067674
MOLM-13,2025-01-11,111.11111111111111,27000.0,0.07741666666666668,0.10548427387305555
MOLM-13,2025-01-11,37.03703703703704,27000.0,0.06941666666666667,0.09458385375269673
MOLM-13,2025-01-11,12.345679012345679,27000.0,0.08241666666666668,0.11229703644827982
MOLM-13,2025-01-11,0.0,27000.0,0.11291666666666668,0.15385488815714776
MOLM-13,2025-01-11,27000.0,3000.0,0.016416666666666677,0.02236857045531965
MOLM-13,2025-01-11,9000.0,3000.0,0.035416666666666666,0.048257068241171805
MOLM-13,2025-01-11,3000.0,3000.0,0.1589166666666667,0.21653230384921093
MOLM-13,2025-01-11,1000.0,3000.0,0.3194166666666667,0.4352219825139095
MOLM-13,2025-01-11,333.3333333333333,3000.0,0.3389166666666667,0.4617917565572841
MOLM-13,2025-01-11,111.11111111111111,3000.0,0.2249166666666667,0.30646076984217113
MOLM-13,2025-01-11,37.03703703703704,3000.0,0.24791666666666667,0.3377994776882026
MOLM-13,2025-01-11,12.345679012345679,3000.0,0.2629166666666667,0.3582377654138754
MOLM-13,2025-01-11,0.0,3000.0,0.23741666666666666,0.3234926762802317
MOLM-13,2025-01-11,27000.0,333.3333333333333,0.03691666666666667,0.050300897013739077
MOLM-13,2025-01-11,9000.0,333.3333333333333,0.017416666666666678,0.0237311229703645
MOLM-13,2025-01-11,3000.0,333.3333333333333,0.05891666666666666,0.08027705234472579
MOLM-13,2025-01-11,1000.0,333.3333333333333,0.34991666666666665,0.4767798342227774
MOLM-13,2025-01-11,333.3333333333333,333.3333333333333,0.5824166666666666,0.7935732939707051
MOLM-13,2025-01-11,111.11111111111111,333.3333333333333,0.6794166666666667,0.9257408879300558
MOLM-13,2025-01-11,37.03703703703704,333.3333333333333,0.6784166666666667,0.9243783354150109
MOLM-13,2025-01-11,12.345679012345679,333.3333333333333,0.5954166666666666,0.8112864766662882
MOLM-13,2025-01-11,0.0,333.3333333333333,0.6549166666666666,0.8923583513114568
MOLM-13,2025-01-11,27000.0,37.03703703703704,0.045416666666666675,0.061882593391620326
MOLM-13,2025-01-11,9000.0,37.03703703703704,0.016416666666666677,0.02236857045531965
MOLM-13,2025-01-11,3000.0,37.03703703703704,0.03891666666666667,0.053026002043828784
MOLM-13,2025-01-11,1000.0,37.03703703703704,0.23591666666666666,0.3214488475076644
MOLM-13,2025-01-11,333.3333333333333,37.03703703703704,0.6634166666666667,0.9039400476893381
MOLM-13,2025-01-11,111.11111111111111,37.03703703703704,0.5954166666666666,0.8112864766662882
MOLM-13,2025-01-11,37.03703703703704,37.03703703703704,0.6374166666666666,0.868513682298172
MOLM-13,2025-01-11,12.345679012345679,37.03703703703704,0.5939166666666666,0.809242647893721
MOLM-13,2025-01-11,0.0,37.03703703703704,0.6234166666666666,0.849437947087544
MOLM-13,2025-01-11,27000.0,0.0,0.03141666666666666,0.04280685818099239
MOLM-13,2025-01-11,9000.0,0.0,0.012416666666666673,0.01691836039514024
MOLM-13,2025-01-11,3000.0,0.0,0.03141666666666666,0.04280685818099239
MOLM-13,2025-01-11,1000.0,0.0,0.2679166666666667,0.36505052798909965
MOLM-13,2025-01-11,333.3333333333333,0.0,0.6069166666666665,0.8269558305893039
MOLM-13,2025-01-11,111.11111111111111,0.0,0.5859166666666666,0.7983422277733622
MOLM-13,2025-01-11,37.03703703703704,0.0,0.6409166666666666,0.8732826161008289
MOLM-13,2025-01-11,12.345679012345679,0.0,0.5364166666666667,0.7308958782786421
MOLM-13,2025-01-11,0.0,0.0,0.7339166666666666,1.0
