0,1,2,3,4,5,6,7,8,9
"{'JQ-1': 0, 'CC-90009': 62.5}","{'JQ-1': 256000, 'CC-90009': 62.5}","{'JQ-1': 64000.0, 'CC-90009': 62.5}","{'JQ-1': 16000.0, 'CC-90009': 62.5}","{'JQ-1': 4000.0, 'CC-90009': 62.5}","{'JQ-1': 1000.0, 'CC-90009': 62.5}","{'JQ-1': 250.0, 'CC-90009': 62.5}","{'JQ-1': 62.5, 'CC-90009': 62.5}","{'JQ-1': 15.625, 'CC-90009': 62.5}","{'JQ-1': 0, 'CC-90009': 62.5}"
"{'JQ-1': 0, 'CC-90009': 62.5}","{'JQ-1': 256000, 'CC-90009': 62.5}","{'JQ-1': 64000.0, 'CC-90009': 62.5}","{'JQ-1': 16000.0, 'CC-90009': 62.5}","{'JQ-1': 4000.0, 'CC-90009': 62.5}","{'JQ-1': 1000.0, 'CC-90009': 62.5}","{'JQ-1': 250.0, 'CC-90009': 62.5}","{'JQ-1': 62.5, 'CC-90009': 62.5}","{'JQ-1': 15.625, 'CC-90009': 62.5}","{'JQ-1': 0, 'CC-90009': 62.5}"
"{'JQ-1': 0, 'CC-90009': 62.5}","{'JQ-1': 256000, 'CC-90009': 62.5}","{'JQ-1': 64000.0, 'CC-90009': 62.5}","{'JQ-1': 16000.0, 'CC-90009': 62.5}","{'JQ-1': 4000.0, 'CC-90009': 62.5}","{'JQ-1': 1000.0, 'CC-90009': 62.5}","{'JQ-1': 250.0, 'CC-90009': 62.5}","{'JQ-1': 62.5, 'CC-90009': 62.5}","{'JQ-1': 15.625, 'CC-90009': 62.5}","{'JQ-1': 0, 'CC-90009': 62.5}"
"{'JQ-1': 0, 'CC-90009': 0}","{'JQ-1': 256000, 'CC-90009': 0}","{'JQ-1': 64000.0, 'CC-90009': 0}","{'JQ-1': 16000.0, 'CC-90009': 0}","{'JQ-1': 4000.0, 'CC-90009': 0}","{'JQ-1': 1000.0, 'CC-90009': 0}","{'JQ-1': 250.0, 'CC-90009': 0}","{'JQ-1': 62.5, 'CC-90009': 0}","{'JQ-1': 15.625, 'CC-90009': 0}","{'JQ-1': 0, 'CC-90009': 0}"
"{'JQ-1': 0, 'CC-90009': 0}","{'JQ-1': 256000, 'CC-90009': 0}","{'JQ-1': 64000.0, 'CC-90009': 0}","{'JQ-1': 16000.0, 'CC-90009': 0}","{'JQ-1': 4000.0, 'CC-90009': 0}","{'JQ-1': 1000.0, 'CC-90009': 0}","{'JQ-1': 250.0, 'CC-90009': 0}","{'JQ-1': 62.5, 'CC-90009': 0}","{'JQ-1': 15.625, 'CC-90009': 0}","{'JQ-1': 0, 'CC-90009': 0}"
"{'JQ-1': 0, 'CC-90009': 0}","{'JQ-1': 256000, 'CC-90009': 0}","{'JQ-1': 64000.0, 'CC-90009': 0}","{'JQ-1': 16000.0, 'CC-90009': 0}","{'JQ-1': 4000.0, 'CC-90009': 0}","{'JQ-1': 1000.0, 'CC-90009': 0}","{'JQ-1': 250.0, 'CC-90009': 0}","{'JQ-1': 62.5, 'CC-90009': 0}","{'JQ-1': 15.625, 'CC-90009': 0}","{'JQ-1': 0, 'CC-90009': 0}"
